Customer_ID,Gender,Tenure_Months,Contract_Type,Monthly_Charges,Total_Charges,Churn
CUST-001,Female,1,Month-to-Month,29.85,29.85,Yes
CUST-002,Male,34,One Year,56.95,1889.50,No
CUST-003,Male,2,Month-to-Month,53.85,108.15,Yes
CUST-004,Male,45,One Year,42.30,1840.75,No
CUST-005,Female,2,Month-to-Month,70.70,151.65,Yes
CUST-006,Female,8,Month-to-Month,99.65,820.50,Yes
CUST-007,Male,22,Two Year,89.10,1949.40,No
CUST-008,Female,10,Month-to-Month,29.75,301.90,No
CUST-009,Male,28,Month-to-Month,104.80,3046.05,Yes
CUST-0010,Male,62,Two Year,56.15,3487.95,No
