Order_ID,Date,Customer_ID,City,Category,Product,Quantity,Unit_Price,Payment_Method,Rating
ORD1001,2024-01-05,CUST501,Mumbai,Electronics,Wireless Headphones,2,1999.0,UPI,4.5
ORD1002,2024-01-05,CUST502,Delhi,Clothing,Men Cotton T-Shirt,3,499.0,Credit Card,4.0
ORD1003,2024-01-06,CUST503,Bangalore,Electronics,Smart Watch,1,3499.0,UPI,4.8
ORD1004,2024-01-06,CUST504,Mumbai,Home & Kitchen,Mixer Grinder,1,2299.0,Net Banking,4.2
ORD1005,2024-01-07,CUST505,Kolkata,Clothing,Women Jeans,2,1299.0,Cash on Delivery,3.9
ORD1006,2024-01-07,CUST506,Chennai,Books,Data Science Guide,1,900.0,UPI,4.3
ORD1007,2024-01-08,CUST507,Hyderabad,Electronics,Bluetooth Speaker,1,1499.0,Credit Card,4.6
ORD1008,2024-01-08,CUST508,Ahmedabad,Home & Kitchen,Non-Stick Pan,2,1750.0,UPI,4.2
ORD1009,2024-01-09,CUST509,Pune,Books,Python Crash Course,3,450.0,Debit Card,4.7
ORD1010,2024-01-09,CUST510,Delhi,Electronics,Wireless Mouse,2,650.0,UPI,4.1
ORD1011,2024-01-10,CUST511,Bangalore,Clothing,Running Shoes,1,2896.0,Credit Card,4.4
ORD1012,2024-01-10,CUST512,Delhi,Footwear,Leather Formal Shoes,1,2999.0,Net Banking,4.5
ORD1013,2024-01-11,CUST513,Mumbai,Electronics,USB C Charger,2,499.0,UPI,4.0
ORD1014,2024-01-11,CUST514,Kolkata,Home & Kitchen,Electric Kettle,1,999.0,Cash on Delivery,3.9
ORD1015,2024-01-12,CUST515,Hyderabad,Electronics,Wireless Earbuds,1,2500.0,UPI,4.6
ORD1016,2024-01-12,CUST516,Bangalore,Books,Machine Learning Handbook,2,1200.0,Credit Card,4.9
ORD1017,2024-01-13,CUST517,Pune,Clothing,Winter Jacket,1,1848.0,UPI,3.9
ORD1018,2024-01-13,CUST518,Delhi,Electronics,Gaming Keyboard,1,2196.0,Net Banking,4.7
ORD1019,2024-01-14,CUST519,Mumbai,Home & Kitchen,Induction Cooktop,1,2699.0,Credit Card,4.0
ORD1020,2024-01-14,CUST520,Bangalore,Footwear,Sports Sneakers,2,1750.0,UPI,4.3
